person	position	institution	address	year
Khalil Ghazalat Bey	Conseiller	Cour d'Appel Mixte		1943
Mohamed Aly Zeki Bey	Conseiller	Cour d'Appel Mixte		1943
Ahmed Mazloum Bey	Conseiller	Cour d'Appel Mixte		1943
Hassan Kamel Bey	Conseiller	Cour d'Appel Mixte		1943
Mahmoud Said Bey	Conseiller	Cour d'Appel Mixte		1943
Edwin S. Lemass	Conseiller	Cour d'Appel Mixte		1943
Jean-Baptiste Henri Peuch	Conseiller	Cour d'Appel Mixte		1943
Th. Heyligers	Conseiller	Cour d'Appel Mixte		1943
Robert Llewellyn Henry	Conseiller	Cour d'Appel Mixte		1943
Georges Sisto Bey	Greffier en Chef	Cour d'Appel Mixte		1943
Georges Hokédouni, M.B.E.	Secrétaire Général	Cour d'Appel Mixte		1943
Hugh Holmes, C.M.G., K.C.	Procureur Général	Parquet Général Mixte	Place Mohamed Aly, 23132, Alexandrie	1943
Mohamed Onsy Bey	1er Avocat Général	Parquet Général Mixte		1943
E.G. Payne	2ème Avocat Général	Parquet Général Mixte		1943
Eugène Vroonen	Président	Tribunal Mixte d'Alexandrie	Place Mohamed Aly, 27922, Alexandrie.	1943
Soliman Yousri Bey	Vice-Président	Tribunal Mixte d'Alexandrie		1943
Niels Dahl	Juge	Tribunal Mixte d'Alexandrie		1943
Hugo Wickstrom	Juge	Tribunal Mixte d'Alexandrie		1943
D. Sarsentis	Juge	Tribunal Mixte d'Alexandrie		1943
Carl Seidelin-Larsen	Juge	Tribunal Mixte d'Alexandrie		1943
Sverre Daehli	Juge	Tribunal Mixte d'Alexandrie		1943
François Fairé	Juge	Tribunal Mixte d'Alexandrie		1943
Mohamed Fahmy el-Issaoui Bey	Juge	Tribunal Mixte d'Alexandrie		1943
A.J.N.M. Struycken	Juge	Tribunal Mixte d'Alexandrie		1943
René Stenuit	Juge	Tribunal Mixte d'Alexandrie		1943
Osman Sabry	Juge	Tribunal Mixte d'Alexandrie		1943
Ismail Ibrahim Gazzarine	Juge	Tribunal Mixte d'Alexandrie		1943
Hussein Fakhry Bey	Juge	Tribunal Mixte d'Alexandrie		1943
Marcel Laforge	Juge	Tribunal Mixte d'Alexandrie		1943
Poly Modinos	Juge	Tribunal Mixte d'Alexandrie		1943
Youssef Mohamed Delavor	Juge	Tribunal Mixte d'Alexandrie		1943
Hassouna El-Toayar	Juge	Tribunal Mixte d'Alexandrie		1943
Ahmed Niazi Bey	Juge	Tribunal Mixte d'Alexandrie		1943
Naguib Saad	Juge	Tribunal Mixte d'Alexandrie		1943
Ahmed Rasheed	Juge	Tribunal Mixte d'Alexandrie		1943
Waheed Fikry Raafat	Juge	Tribunal Mixte d'Alexandrie		1943
Ibrahim Zaki	Juge	Tribunal Mixte d'Alexandrie		1943
Adib Maakad Bey	Greffier en Chef	Tribunal Mixte d'Alexandrie		1943
Me. Georges Roussas	Bâtonnier de l'Ordre des Avocats près les Juridictions Mixtes	Barreau Mixte	Place Mohamed Aly, 26459, Alexandrie.	1943
H.G. Bechmann	Président	Tribunal Mixte du Caire	Avenue Fouad 1er, 57730, Le Caire	1943
Ahmed Saroit Bey	Vice-Président	Tribunal Mixte du Caire		1943
Maurice de Wée	Juge	Tribunal Mixte du Caire		1943
José Fesser y Reina	Juge	Tribunal Mixte du Caire		1943
Torsten Salen	Juge	Tribunal Mixte du Caire		1943
Jacques Eeman	Juge	Tribunal Mixte du Caire		1943
Moustafa Mokhtar Bey	Juge	Tribunal Mixte du Caire		1943
Ahmed Kamel Chihab el-Dine Bey	Juge	Tribunal Mixte du Caire		1943
Riad Abdelaziz Bey	Juge	Tribunal Mixte du Caire		1943
H.H. Barne	Juge	Tribunal Mixte du Caire		1943
J.M. De Freitas	Juge	Tribunal Mixte du Caire		1943
G. Roilos	Juge	Tribunal Mixte du Caire		1943
Mohamed Charmy Bey	Juge	Tribunal Mixte du Caire		1943
Robert Courvoisier	Juge	Tribunal Mixte du Caire		1943
Iskandar Assabghi Bey	Juge	Tribunal Mixte du Caire		1943
Kamel Wasfi Abouldahab Bey	Juge	Tribunal Mixte du Caire		1943
Abdou El-Barkouki	Juge	Tribunal Mixte du Caire		1943
Hamed El-Hitami	Juge	Tribunal Mixte du Caire		1943
Abdelfattah Fahmy Khattab	Juge	Tribunal Mixte du Caire		1943
Dr. Mohamed Abdelmoneim Riad Bey	Juge	Tribunal Mixte du Caire		1943
Hilmi Makram Ebeid	Juge	Tribunal Mixte du Caire		1943
Mahmoud Sadek	Juge	Tribunal Mixte du Caire		1943
Mohamed Kamel Amine Malache	Juge	Tribunal Mixte du Caire		1943
Mohamed Mokhtar Abdallah	Juge	Tribunal Mixte du Caire		1943
Ismail Aboulfetouh	Juge	Tribunal Mixte du Caire		1943
Ismail Saroit	Juge	Tribunal Mixte du Caire		1943
Abdelhamid Rouchdy	Juge	Tribunal Mixte du Caire		1943
Said Zulficar Bey	Chef du Parquet	Tribunal Mixte du Caire		1943
Armen Dermarkarian	Greffier en Chef	Tribunal Mixte du Caire		1943
Me. Raymond Schemeil	Substitut du Bâtonnier au Caire	Barreau Mixte	(Palais de Justice Mixte) Avenue Fouad 1er, 57124, Le Caire.	1943
Habib Fahmy Bey	Président	Tribunal Mixte de Mansourah		1943
Dimitri Kokinopoulo	Vice-Président	Tribunal Mixte de Mansourah		1943
Mohamed Ahmed Ghoneim	Juge	Tribunal Mixte de Mansourah		1943
Helmy Badaoui	Juge	Tribunal Mixte de Mansourah		1943
